,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
0,1-5323272,Overnight,234074,-122.51,44.7575,97128-3127,170.0,2007-07-27,2007-07-29,35,,,,,,1.0,,,,,,,,,45.2,-123.3,2
1,1-5384274,Overnight,234059,-109.589,38.7769,84062,54.0,2007-04-18,2007-04-21,8,,,,,,1.0,,,,,,,,,40.39,-111.74,3
2,1-5342597,Overnight,234074,-122.51,44.7575,97317,190.0,2007-08-10,2007-08-12,60,1.0,,1.0,1.0,,,,,,,,,,,44.9,-122.9,2
3,1-4665692,Overnight,234038,-103.304,29.275,78759,129.0,2007-02-21,2007-02-25,10,,,,,,1.0,,,,,,,,,30.4,-97.75,4
4,1-4673458,Overnight,234038,-103.304,29.275,75006,429.0,2007-02-02,2007-02-09,20,1.0,,,,,,,,,,,,,,32.95,-96.89,7
5,1-4673463,Overnight,234038,-103.304,29.275,75006,429.0,2007-02-02,2007-02-09,20,1.0,,,,,,,,,,,,,,32.95,-96.89,7
6,1-4675412,Overnight,234035,-102.961,29.1825,78735,609.0,2007-03-04,2007-03-09,40,,,,,,1.0,,,,,,,,,30.27,-97.87,5
7,1-4675441,Overnight,234035,-102.961,29.1825,78735,609.0,2007-03-04,2007-03-09,40,,,,,,1.0,,,,,,,,,30.27,-97.87,5
8,1-4706690,Overnight,234038,-103.304,29.275,76103,79.0,2007-03-10,2007-03-15,20,,,,,,1.0,,,,,,,,,32.75,-97.27,5
9,1-4731453,Overnight,234059,-109.589,38.7769,84106,174.0,2007-03-22,2007-03-27,11,,,,,,1.0,,,,,,,,,40.71,-111.86,5
10,1-4750165,Overnight,234035,-102.961,29.1825,75137,219.0,2007-03-10,2007-03-17,10,,,,,,1.0,,,,,,,,,32.63,-96.91,7
11,1-4750575,Overnight,234045,-91.4083,37.2831,65202,119.0,2007-06-23,2007-06-25,30,,,,,,1.0,,,,,,,,,39.0,-92.3,2
12,1-4765520,Overnight,234059,-109.589,38.7769,84062,194.0,2007-04-17,2007-04-22,11,1.0,,,,,,,,,,,,,,40.39,-111.74,5
13,1-4785284,Overnight,234059,-109.589,38.7769,84501,108.0,2007-04-06,2007-04-09,11,,,,,,1.0,,,,,,,,,39.6,-110.8,3
14,1-4801495,Overnight,234059,-109.589,38.7769,92107,117.0,2007-04-01,2007-04-04,12,,,,,,1.0,,,,,,,,,32.74,-117.24,3
15,1-4812354,Overnight,234059,-109.589,38.7769,84111,117.0,2007-04-12,2007-04-15,12,,,,,,1.0,,,,,,,,,40.76,-111.88,3
16,1-4857546,Overnight,234035,-102.961,29.1825,79734,249.0,2007-04-23,2007-04-27,20,,,,,,1.0,,,,,,,,,30.8,-103.9,4
